process_id,arrival_time,priority,burst_time
1,44,10,6
2,47,6,2
3,64,9,2
4,67,2,4
5,67,1,6
6,9,10,19
7,83,6,2
8,21,10,4
9,36,3,14
10,87,2,3
11,70,4,16
12,88,1,12
13,88,7,2
14,12,1,10
15,58,8,10
16,65,10,12
17,39,4,17
18,87,9,10
19,46,5,1
20,88,5,5
21,81,6,12
22,37,2,4
23,25,7,13
24,77,9,3
25,72,7,1
26,9,2,5
27,20,5,11
28,80,5,4
29,69,10,12
30,79,9,10
31,47,7,6
32,64,3,2
33,82,4,4
34,99,9,11
35,88,1,17
36,49,6,2
37,29,9,4
38,19,8,14
39,19,6,5
40,14,7,9
41,39,6,6
42,32,8,11
43,65,5,1
44,9,3,4
45,57,7,9
46,32,7,14
47,31,9,1
48,74,2,11
49,23,1,6
50,35,6,9
51,75,1,14
52,55,2,3
53,28,5,1
54,34,2,13
55,0,10,8
56,0,1,17
57,36,4,16
58,53,10,20
59,5,4,18
60,38,1,1
61,17,9,1
62,79,3,12
63,4,6,11
64,42,5,7
65,58,3,19
66,31,5,2
67,1,3,20
68,65,1,6
69,41,2,18
70,57,6,11
71,35,6,13
72,11,9,10
73,46,1,18
74,82,1,4
75,91,6,9
76,0,8,3
77,14,4,11
78,99,7,7
79,53,1,1
80,12,3,5
81,42,1,5
82,84,6,13
83,75,2,1
84,68,8,20
85,6,4,4
86,68,3,8
87,47,4,18
88,3,3,12
89,76,4,3
90,100,8,13
91,52,8,17
92,78,2,3
93,15,5,13
94,20,7,10
95,99,8,4
96,58,1,1
97,23,1,14
98,79,7,6
99,13,5,19
100,85,5,4
101,48,6,11
102,49,2,20
103,69,3,13
104,41,7,10
105,35,9,17
106,64,3,7
107,95,10,13
108,69,10,16
109,94,6,7
110,0,6,18
111,50,9,7
112,36,6,6
113,34,10,13
114,48,2,3
115,93,10,1
116,3,5,18
117,98,7,11
118,42,10,1
119,77,9,5
120,21,1,9
121,73,6,19
122,0,7,14
123,10,1,8
124,43,7,9
125,58,1,17
126,23,7,11
127,59,8,16
128,2,2,17
129,98,2,2
130,62,6,3
131,35,1,17
132,94,7,12
133,67,5,16
134,82,5,16
135,46,5,6
136,99,8,20
137,20,3,3
138,81,2,13
139,50,5,13
140,27,10,15
141,14,9,2
142,41,5,12
143,58,5,15
144,65,8,15
145,36,1,12
146,10,8,7
147,86,9,3
148,43,10,10
149,11,10,11
150,2,6,18
151,51,3,7
152,80,7,7
153,32,10,12
154,54,6,17
155,0,7,14
