process_id,arrival_time,priority,burst_time
1,46,7,1
2,61,8,2
3,68,9,1
4,29,9,1
5,93,2,1
6,40,1,1
7,95,1,3
8,8,9,34
9,5,5,2
10,85,10,1
11,22,5,3
12,62,3,3
13,87,9,2
14,40,9,2
15,14,4,1
16,42,4,3
17,41,1,40
18,32,9,1
19,100,4,1
20,46,3,2
21,7,7,1
22,37,8,3
23,90,5,1
24,94,2,1
25,71,1,3
26,34,7,2
27,85,7,1
28,55,5,3
29,75,8,1
30,67,9,2
31,23,7,3
32,1,4,1
33,17,6,2
34,97,8,3
35,11,7,3
36,94,5,1
37,18,4,2
38,51,2,2
39,52,8,2
40,79,8,1
41,94,6,34
42,5,8,2
43,83,9,3
44,86,10,1
45,18,1,1
46,79,9,3
47,70,6,1
48,60,7,2
49,90,9,1
50,18,9,3
51,30,4,2
52,48,8,3
53,60,5,28
54,9,6,3
55,10,4,2
56,15,1,3
57,2,10,3
58,41,1,2
59,95,6,1
60,3,3,2
61,12,6,2
62,38,10,3
63,23,6,1
64,95,4,1
65,2,7,3
66,68,9,1
67,61,8,2
68,74,8,2
69,68,3,2
70,34,7,1
71,44,5,3
72,34,3,3
73,26,5,2
74,46,7,1
75,91,9,2
76,71,10,2
77,23,4,3
78,71,3,1
79,26,4,1
80,44,2,3
81,51,2,1
82,3,8,2
83,68,5,35
84,79,4,1
85,36,3,1
86,52,1,1
87,41,7,3
88,91,3,2
89,80,5,3
90,47,2,2
91,6,8,2
92,46,10,3
93,16,10,3
94,75,2,2
95,20,6,2
96,40,9,2
97,11,5,3
98,16,7,1
99,22,3,1
100,50,3,2
101,95,9,1
102,13,2,1
103,63,10,2
104,13,6,3
105,28,9,3
106,16,1,3
107,16,1,2
108,22,2,3
109,36,9,2
110,43,7,3
111,13,8,2
112,82,1,2
113,68,7,3
114,71,8,3
115,34,3,2
116,53,10,2
117,15,9,2
118,45,6,2
119,2,3,2
120,20,2,1
121,49,6,2
122,95,4,2
123,66,3,3
124,90,8,21
125,32,1,3
126,81,8,2
127,76,6,2
128,64,1,2
129,37,5,2
130,90,8,1
131,86,10,3
132,72,2,2
133,65,10,2
134,83,8,3
135,63,10,1
136,61,8,3
137,89,3,1
138,2,2,3
139,50,8,2
140,84,7,3
141,12,9,2
142,12,9,1
143,47,10,1
144,53,9,1
145,40,2,1
146,82,10,2
147,48,2,3
148,93,9,2
149,56,5,3
150,14,10,1
151,35,8,1
152,1,8,2
153,73,1,3
154,33,9,35
155,45,2,34
156,50,5,1
157,46,5,2
158,38,5,1
159,40,5,2
160,58,5,3
161,65,3,1
162,53,5,3
163,91,2,3
164,64,6,3
165,18,10,22
166,26,4,2
167,38,4,1
168,6,8,3
169,13,6,2
170,80,8,2
171,26,6,2
172,34,6,1
173,67,2,2
174,33,2,1
175,36,6,1
176,38,10,1
177,42,1,3
178,99,8,2
179,26,7,1
180,39,3,1
181,35,7,3
182,68,4,1
183,0,2,3
184,55,5,1
185,59,7,1
186,36,5,2
187,87,3,3
188,12,6,2
189,63,6,2
190,97,7,3
191,15,8,2
192,10,10,1
193,34,1,23
194,58,4,3
195,57,8,1
196,17,8,3
197,41,6,1
198,18,6,1
199,17,6,3
200,39,1,2
201,46,1,2
202,6,4,3
203,24,10,2
204,16,4,3
205,87,2,2
206,30,5,3
207,85,2,2
208,15,9,3
209,67,10,1
210,64,8,2
211,57,6,2
212,27,4,1
213,18,4,2
214,53,4,1
215,17,10,3
216,63,9,2
217,54,5,2
218,5,4,2
219,47,2,3
220,66,10,2
221,50,2,1
222,49,7,2
223,74,3,1
224,17,6,3
225,70,1,3
226,80,9,3
227,19,2,2
228,30,8,2
229,24,9,3
230,41,8,2
231,34,4,1
232,39,4,1
233,13,4,3
234,63,6,1
235,24,7,3
236,99,6,2
237,70,8,2
238,24,3,2
239,48,8,2
240,90,2,3
241,95,2,3
242,36,3,2
243,38,7,1
244,39,10,2
245,22,8,3
246,21,8,1
247,57,2,1
248,66,2,1
249,24,9,1
250,33,7,3
251,36,5,1
252,18,4,2
253,47,10,2
254,87,6,2
255,64,3,3
256,88,2,2
257,58,9,1
258,91,3,2
259,1,8,3
260,36,9,1
261,50,1,3
262,18,10,2
263,91,10,2
264,31,3,2
265,93,1,1
266,83,5,3
267,6,2,3
268,2,8,2
269,58,3,1
270,53,5,3
271,49,8,3
272,49,2,2
273,93,9,3
274,71,6,1
275,69,2,1
276,27,1,1
277,98,3,3
278,14,5,1
279,5,9,34
280,67,8,35
281,83,9,1
282,3,4,2
283,30,2,32
284,91,5,1
285,98,1,3
286,76,4,3
287,74,1,1
288,37,4,3
289,89,3,2
290,67,6,3
291,57,4,2
292,34,8,2
293,95,7,1
294,32,3,3
295,93,2,2
296,2,2,1
297,1,8,3
298,53,5,2
299,27,7,2
300,28,2,2
301,13,2,2
302,34,8,1
303,83,7,3
304,44,3,3
305,11,3,1
306,22,5,2
307,86,7,1
308,12,6,1
309,93,1,3
310,45,5,3
311,66,7,3
312,7,5,3
313,67,5,2
314,33,2,2
315,72,3,1
316,39,2,1
317,35,7,3
318,40,3,3
319,20,2,3
320,47,2,3
321,87,6,2
322,88,2,2
