process_id,arrival_time,priority,burst_time
1,0,9,9
2,1,5,10
3,0,1,12
4,0,5,9
5,0,3,8
6,0,5,11
7,0,6,12
8,0,9,11
9,0,9,12
10,0,10,10
11,0,7,10
12,0,2,12
13,0,2,10
14,1,6,9
15,0,10,11
16,0,10,9
17,0,1,10
18,0,9,11
19,0,4,11
20,0,7,11
21,1,4,10
22,1,2,10
23,0,2,9
24,0,1,8
25,1,5,12
26,1,7,9
27,0,6,11
28,0,1,11
29,0,3,10
30,1,3,9
31,0,9,9
32,0,10,9
33,1,7,9
34,0,2,10
35,0,7,9
36,0,6,10
37,0,1,11
38,1,8,12
39,0,6,9
40,1,6,12
41,1,4,12
42,1,7,9
43,0,6,10
44,1,7,9
45,0,1,12
46,0,10,11
47,1,3,9
48,0,4,11
49,0,7,9
50,0,10,9
51,0,9,9
52,0,8,10
53,0,3,9
54,0,3,12
55,0,5,8
56,0,5,12
57,0,4,12
58,0,8,10
59,0,3,12
60,0,4,9
61,0,9,8
62,0,3,8
63,0,3,9
64,0,10,9
65,0,3,8
66,0,7,9
67,0,4,10
68,0,5,12
69,1,6,12
70,0,6,12
71,1,9,9
72,0,6,9
73,0,9,10
74,1,2,9
75,0,6,9
76,0,10,12
77,1,6,9
78,0,6,11
79,1,5,9
80,1,7,8
81,1,7,10
82,0,4,11
83,1,2,11
84,0,2,12
85,0,4,11
86,1,7,10
87,0,1,11
88,1,3,10
89,0,2,12
90,0,6,11
91,0,7,8
92,1,5,8
93,0,7,9
94,0,7,11
95,0,2,8
96,0,9,9
97,1,5,11
98,0,10,12
99,0,10,8
100,0,9,11
101,0,6,10
102,0,1,11
103,1,6,10
104,0,5,8
105,1,8,10
106,0,5,11
107,0,4,11
108,1,2,10
109,0,3,8
110,1,8,9
111,0,1,12
112,0,4,9
113,1,6,11
114,0,10,8
115,0,6,11
116,1,4,9
117,1,4,9
118,1,3,10
119,1,10,9
120,0,3,11
121,0,6,11
122,0,10,10
123,0,10,10
124,0,5,10
125,1,9,11
126,0,8,10
127,0,6,9
128,1,5,10
129,0,10,11
130,0,7,10
131,0,6,12
132,1,7,10
133,0,5,10
134,0,3,10
135,1,4,8
136,0,9,9
137,1,9,11
138,0,4,12
139,1,6,10
140,1,7,10
141,0,10,8
