process_id,arrival_time,priority,burst_time
1,99,9,5
2,78,4,5
3,61,10,1
4,16,3,4
5,73,7,2
6,8,10,5
7,100,7,3
8,62,3,1
9,27,8,3
10,30,2,4
11,80,9,5
12,7,10,5
13,76,2,5
14,15,5,2
15,53,2,1
16,80,10,1
17,27,8,4
18,44,6,5
19,77,9,5
20,75,1,4
21,65,1,4
22,47,9,1
23,30,6,5
24,84,9,3
25,86,6,5
26,18,4,3
27,9,2,1
28,41,6,3
29,62,2,2
30,1,3,3
31,82,10,3
32,16,8,3
33,78,3,3
34,5,6,2
35,58,9,3
36,0,9,4
37,80,1,5
38,4,10,5
39,36,6,5
40,51,10,1
41,27,3,5
42,31,7,5
43,2,10,1
44,68,9,3
45,38,9,3
46,83,10,3
47,19,2,4
48,18,3,3
49,7,10,5
50,100,9,3
51,30,5,5
52,62,5,4
53,11,4,5
54,67,9,5
55,65,6,4
56,55,4,1
57,3,9,2
58,91,9,5
59,78,10,2
60,27,6,1
61,29,10,1
62,33,10,3
63,89,3,5
64,85,2,3
65,7,8,3
66,16,1,3
67,94,9,1
68,14,9,2
69,90,8,4
70,31,8,3
71,9,3,5
72,38,9,1
73,47,5,4
74,16,1,2
75,5,10,3
76,34,6,4
77,45,1,1
78,59,8,5
79,24,4,4
80,13,6,1
81,31,9,2
82,32,5,2
83,76,3,4
84,44,6,1
85,5,8,5
86,14,4,1
87,47,9,2
88,94,10,1
89,82,7,5
90,0,8,1
91,7,9,4
92,86,9,3
93,16,4,5
94,64,6,3
95,8,3,2
96,90,7,3
97,44,3,3
98,37,6,4
99,94,1,4
100,75,3,2
101,5,9,2
102,22,6,5
103,52,5,2
104,69,1,4
105,82,5,5
106,60,10,2
107,91,7,5
108,29,8,5
109,88,2,3
110,97,9,5
111,92,8,5
112,79,9,1
113,70,8,4
114,35,5,5
115,20,2,3
116,49,6,2
117,72,2,5
118,32,7,5
119,82,1,5
120,13,4,1
121,92,8,1
122,18,5,1
123,52,10,3
124,81,5,2
125,22,6,1
126,58,5,3
127,83,9,5
128,92,1,3
129,83,5,2
130,49,1,2
131,4,4,1
132,82,7,5
133,36,7,5
134,41,7,5
135,20,9,3
136,32,3,4
137,10,4,4
138,31,7,5
139,15,8,2
140,22,6,5
141,70,8,2
142,9,3,4
143,63,8,2
144,94,8,1
145,14,5,4
146,66,6,2
147,57,1,5
148,19,9,4
149,64,4,5
150,8,4,1
151,8,1,5
152,71,5,2
153,12,3,3
154,20,7,3
155,59,4,3
156,72,3,3
157,74,9,3
158,86,4,3
159,72,6,3
160,32,2,4
161,15,9,5
162,69,6,1
163,35,3,4
164,62,3,5
165,43,3,3
166,100,8,2
167,0,6,1
168,2,8,5
169,2,3,4
170,91,6,3
171,65,8,2
172,45,4,2
173,87,8,3
174,1,1,1
175,23,9,1
176,50,2,3
177,86,4,2
178,19,4,5
179,54,8,3
180,24,2,1
181,64,2,1
182,77,7,2
183,73,3,2
184,1,5,1
185,9,10,5
186,64,6,1
187,23,2,2
188,39,3,1
189,68,9,2
190,81,2,1
191,91,10,4
192,36,1,1
193,97,1,2
194,87,9,3
195,69,6,1
196,36,2,5
197,18,2,4
198,34,3,2
199,30,5,5
200,77,7,5
201,97,7,3
202,35,1,5
203,29,7,3
204,1,2,3
205,82,1,3
206,20,4,2
207,0,2,5
208,34,4,1
209,78,3,2
210,51,3,3
211,30,2,1
212,40,6,3
213,74,9,5
214,69,3,3
215,79,8,3
216,53,10,4
217,19,1,5
218,46,1,5
219,26,10,3
220,85,1,1
221,89,1,4
222,57,1,5
223,17,4,1
224,94,6,3
225,64,10,1
226,28,10,2
227,8,5,5
228,14,7,1
229,64,6,2
230,31,5,2
231,45,5,2
232,5,10,1
233,26,5,2
234,41,5,2
235,83,1,2
236,28,9,1
237,75,1,5
238,35,4,4
239,83,9,5
240,55,5,5
241,3,8,1
242,23,2,1
243,3,8,4
244,95,2,5
245,2,6,2
246,54,8,4
247,93,8,3
248,38,6,4
249,18,6,3
250,71,4,1
251,64,8,3
252,35,4,2
253,37,9,2
254,1,5,5
255,30,10,3
256,91,6,1
257,31,1,5
258,93,7,4
259,6,7,4
260,7,5,2
261,35,9,4
262,78,3,3
263,9,4,1
264,7,8,4
265,89,3,1
266,90,9,2
267,54,2,3
268,31,1,1
269,14,3,2
270,4,1,1
271,85,6,2
272,74,7,1
273,68,10,4
274,96,1,3
275,81,5,3
276,67,8,3
277,79,7,1
278,17,2,4
279,87,6,1
280,11,2,5
281,30,5,4
282,26,2,3
283,8,3,1
284,51,10,2
285,61,9,3
286,84,8,1
287,52,1,3
288,74,8,5
289,25,2,1
290,9,2,3
291,31,2,1
292,39,9,1
293,59,6,5
294,22,3,4
295,80,7,4
296,58,6,3
297,44,2,1
298,15,3,1
299,15,8,3
300,95,9,1
301,77,7,1
302,81,10,4
303,99,10,3
304,57,10,2
305,46,6,3
306,19,2,1
307,45,7,2
308,92,5,4
309,83,9,4
310,51,3,4
311,85,9,5
312,16,1,5
313,96,7,2
314,26,4,3
315,94,5,5
316,30,5,3
317,93,5,5
318,78,10,5
319,14,10,2
320,98,4,3
321,8,8,1
322,57,9,3
323,81,8,3
324,40,4,1
325,59,3,2
326,58,10,2
327,10,3,4
328,6,8,3
329,58,5,4
330,73,10,5
331,54,2,4
332,93,8,2
333,33,6,4
334,24,4,2
335,18,5,1
336,20,7,1
337,46,10,2
338,89,10,3
339,5,4,2
340,76,2,4
341,45,3,2
342,79,3,2
343,24,9,4
344,38,6,2
345,12,8,4
346,1,3,4
347,5,8,3
348,17,10,2
349,11,1,5
350,88,2,2
351,56,3,3
352,83,4,5
353,26,8,2
354,42,8,3
355,57,1,2
356,87,6,2
357,48,4,1
358,8,5,4
359,10,2,3
360,39,1,4
361,3,9,1
362,44,9,1
363,68,2,5
364,94,6,5
365,55,7,4
366,94,7,2
367,31,9,1
368,26,6,1
369,96,5,3
370,13,9,2
371,76,9,2
372,54,9,4
373,83,1,1
374,10,10,2
375,33,3,3
376,97,5,3
377,64,5,1
378,36,10,4
379,60,10,3
380,0,9,3
381,72,10,1
382,24,4,3
383,26,6,2
384,5,10,4
385,29,4,5
386,63,2,1
387,18,1,1
388,55,6,1
389,76,7,2
390,6,3,1
391,45,2,2
392,85,7,1
393,46,7,1
394,58,8,5
395,62,9,3
396,2,7,3
397,22,8,1
398,95,5,1
399,76,8,5
400,55,5,4
401,38,2,4
402,5,1,4
403,49,7,5
404,58,7,3
405,15,4,4
406,86,6,4
407,48,10,1
408,18,6,2
409,59,4,2
410,95,7,5
411,53,3,3
412,18,8,1
413,36,2,5
414,36,10,1
415,67,1,4
416,9,8,5
417,47,10,3
418,0,6,2
419,72,5,5
420,81,6,5
421,64,7,5
422,25,2,2
423,60,6,3
424,36,1,1
425,78,9,3
426,5,8,3
427,13,4,1
428,73,10,5
429,69,1,3
430,77,9,5
431,33,3,4
432,64,8,4
433,3,8,2
434,94,10,3
435,45,1,4
436,70,1,5
437,58,3,3
438,52,4,4
439,99,8,4
440,67,5,3
441,11,6,5
442,65,5,5
443,21,6,5
444,8,4,4
445,31,8,1
446,47,7,1
447,77,8,4
448,78,2,4
449,82,3,5
450,66,10,3
451,98,1,4
452,98,10,4
453,84,2,4
454,20,8,1
455,59,9,5
456,57,9,1
457,33,3,1
458,53,6,2
459,96,3,2
460,1,4,5
461,70,9,2
462,90,3,5
463,78,7,2
464,17,8,5
465,26,5,1
466,32,9,2
467,31,5,3
468,89,7,5
469,49,4,1
470,69,4,4
471,41,3,1
472,76,4,1
473,79,6,2
474,38,5,4
475,79,1,1
476,81,1,3
477,38,2,3
478,43,8,3
479,100,3,2
480,28,8,5
481,17,3,5
482,16,5,1
483,73,2,4
484,54,9,3
485,45,9,2
486,34,1,2
487,90,2,1
488,67,2,4
489,69,7,2
490,70,7,5
491,90,3,1
492,18,8,3
493,75,1,5
494,94,2,2
495,29,4,4
496,33,5,3
497,94,9,5
498,93,5,5
499,29,8,2
500,47,2,5
501,55,4,2
502,21,10,3
503,70,2,3
504,16,5,3
505,15,10,1
506,83,7,5
507,91,3,1
508,70,1,2
509,71,5,2
510,41,5,5
511,13,1,1
512,61,8,3
513,0,9,2
514,46,9,4
515,65,6,1
516,86,6,5
517,80,3,1
518,48,9,1
519,3,10,5
520,77,8,3
521,60,3,3
522,16,5,3
523,11,6,1
524,1,6,5
525,97,5,4
526,57,4,3
527,9,9,1
528,50,2,3
529,16,3,1
530,61,3,1
531,65,1,5
532,30,6,4
533,69,1,4
534,54,1,5
535,46,2,4
536,85,1,4
537,10,2,3
538,58,8,4
539,97,6,1
540,82,2,5
541,42,10,2
542,38,6,5
543,34,6,1
544,18,4,2
545,43,8,2
546,56,10,4
547,76,4,3
548,7,8,4
549,47,1,4
550,62,5,1
551,93,10,3
552,51,5,4
553,24,5,5
554,36,2,5
555,15,8,2
556,64,6,3
557,49,5,1
558,0,2,5
559,6,3,5
560,26,8,3
561,4,9,1
562,81,5,2
563,12,3,4
564,95,1,4
565,63,9,4
566,100,1,2
567,98,9,3
568,61,1,4
569,94,10,1
570,91,2,2
571,75,1,4
572,62,9,5
573,51,7,1
574,2,9,1
575,96,2,5
576,19,4,5
577,7,6,5
578,76,10,2
579,66,6,3
580,56,1,5
581,0,6,1
582,57,7,3
583,31,5,4
584,86,9,1
585,74,5,3
586,37,10,2
587,64,1,5
588,51,6,5
589,12,6,4
590,59,1,1
591,25,4,2
592,39,5,1
593,33,7,3
594,24,8,4
595,7,2,5
596,68,7,4
597,81,10,2
598,69,9,3
599,69,2,5
600,81,8,1
601,20,9,5
602,86,4,5
603,1,8,2
604,74,1,2
605,70,6,4
606,48,6,5
607,55,1,4
608,51,10,3
609,97,6,4
610,39,5,5
611,0,9,5
612,30,9,1
613,42,10,2
614,87,6,5
615,71,4,4
616,4,9,4
617,62,6,3
618,25,3,1
619,17,4,2
620,50,6,3
621,63,6,1
622,17,8,5
623,73,10,5
624,1,1,2
625,22,1,1
626,33,7,4
627,27,9,5
628,82,5,1
629,29,5,4
630,2,10,2
631,62,9,2
632,55,1,5
633,10,4,1
634,90,10,1
635,53,5,4
636,88,7,5
637,54,3,4
638,9,1,2
639,75,6,3
640,49,10,5
641,16,9,5
642,66,7,1
643,73,6,1
644,29,4,5
645,60,4,2
646,1,4,4
647,77,10,4
648,21,6,1
649,25,6,5
650,60,7,2
651,26,1,2
652,14,2,3
653,68,4,3
654,31,7,2
655,16,5,3
656,50,8,2
657,70,4,4
658,92,4,1
659,16,10,1
660,67,3,1
661,50,2,2
662,76,1,4
663,53,10,5
664,61,8,1
665,70,10,4
666,49,10,4
667,69,7,2
668,20,2,3
669,6,2,3
670,21,6,3
671,38,5,1
672,94,4,5
673,13,8,4
674,92,8,5
675,15,9,1
676,63,6,1
677,46,4,1
678,19,3,4
679,99,7,2
680,18,7,2
681,61,1,2
682,22,5,5
683,46,7,1
684,60,6,1
685,86,4,2
686,15,9,2
687,33,2,1
688,93,3,3
689,78,6,5
690,82,6,2
691,18,2,2
692,12,10,2
693,40,10,4
694,62,1,4
695,36,10,3
696,7,6,1
697,88,9,4
698,58,3,5
699,78,4,4
700,58,9,2
701,35,5,3
702,10,6,2
703,60,6,3
704,30,5,3
705,88,10,3
706,28,3,4
707,76,9,3
708,98,8,1
709,93,4,1
710,89,10,3
711,42,9,4
712,96,4,1
713,42,9,4
714,91,6,3
715,45,4,4
716,48,2,5
717,35,9,3
718,25,7,3
719,20,10,1
720,94,4,5
721,38,7,1
722,73,10,1
723,56,4,2
724,76,6,2
725,5,10,3
726,64,2,5
727,97,1,1
728,9,9,2
729,52,4,3
730,46,1,4
731,15,1,2
732,82,8,4
733,16,2,4
734,3,5,5
735,21,2,5
736,67,10,4
737,66,9,1
738,92,9,5
739,83,4,5
740,36,9,3
741,4,1,3
742,33,2,2
743,54,3,2
744,27,5,3
