process_id,arrival_time,priority,burst_time
1,24,1,17
2,3,5,10
3,56,3,5
4,72,4,14
5,0,4,4
6,21,4,8
7,19,4,13
8,74,4,5
9,41,3,2
10,10,3,19
11,21,5,5
12,38,5,12
13,96,3,3
14,20,2,12
15,44,5,10
16,93,3,1
17,39,4,10
18,14,2,18
19,26,4,12
20,81,3,1
21,90,1,12
22,22,1,14
23,66,3,17
24,2,3,13
25,63,3,1
26,60,3,11
27,1,4,1
28,51,2,1
29,90,4,19
30,69,4,8
31,97,3,4
32,29,3,7
33,24,2,17
34,62,1,18
35,7,2,14
36,43,3,12
37,33,2,19
38,79,3,8
39,48,3,3
40,37,4,20
41,20,4,5
42,94,4,6
43,49,2,5
44,21,3,4
45,78,3,19
46,28,4,11
47,54,3,19
48,0,3,7
49,64,5,1
50,18,4,4
51,63,5,13
52,37,2,19
53,56,4,10
54,56,3,2
55,71,3,11
56,37,1,16
57,46,5,10
58,33,1,16
59,1,5,16
60,85,3,18
61,74,5,10
62,100,1,4
63,99,1,19
64,91,3,5
65,16,4,19
66,80,4,7
67,32,3,16
68,16,4,1
69,18,3,4
70,75,2,13
71,55,2,11
72,96,2,1
73,95,5,5
74,13,3,18
75,37,4,17
76,30,2,10
77,48,5,15
78,61,5,17
79,33,2,20
80,52,2,15
81,2,5,8
82,28,3,11
83,36,2,12
84,90,4,16
85,44,2,1
86,48,1,11
87,59,4,9
88,74,5,17
89,54,2,3
90,100,5,9
91,91,4,20
92,21,5,6
93,56,3,8
94,39,3,4
95,29,4,3
96,32,2,1
97,48,3,9
98,9,2,11
99,33,5,12
100,60,3,14
101,88,2,20
102,55,5,1
103,11,2,6
104,84,1,4
105,10,3,12
106,80,4,13
107,76,4,10
108,68,4,6
109,44,3,17
110,44,5,12
111,19,4,18
112,16,2,5
113,98,5,7
114,39,1,19
115,50,3,9
116,65,4,7
117,35,5,8
118,45,3,8
119,52,2,10
120,1,4,7
121,18,5,12
122,63,3,16
123,2,4,14
124,87,4,16
125,99,4,5
126,20,5,12
127,62,2,1
128,81,5,7
129,22,1,17
130,92,3,6
131,7,5,3
132,57,4,16
133,97,5,7
134,43,4,13
135,32,4,19
136,92,2,3
137,60,3,15
138,16,3,14
139,27,3,17
140,53,3,20
141,8,4,19
142,20,5,17
143,8,4,11
144,24,1,5
145,78,3,3
146,76,3,9
147,19,3,12
148,100,3,8
149,9,3,9
150,26,4,5
151,50,3,7
152,60,5,7
153,5,3,4
154,84,5,9
155,95,2,7
156,81,4,3
157,9,2,12
158,32,2,18
159,13,5,17
160,44,4,19
161,71,3,12
162,92,1,14
163,36,5,14
164,42,4,12
165,72,1,6
166,26,3,13
167,24,4,16
168,20,1,19
169,62,1,6
170,44,4,8
171,30,5,1
172,17,3,2
173,32,1,7
174,53,3,19
175,86,4,7
176,39,4,6
177,60,5,19
178,95,4,8
179,32,4,3
180,87,1,11
181,88,4,7
182,33,5,5
183,85,3,17
184,51,3,18
185,90,5,9
186,79,4,15
187,92,4,9
188,11,1,17
189,17,3,16
190,51,3,13
191,71,4,16
192,13,5,11
193,95,3,19
194,68,3,19
195,94,4,7
196,63,4,8
197,41,4,5
198,13,2,4
199,77,3,19
200,96,5,8
201,88,4,7
202,60,3,1
203,47,2,13
204,36,2,11
205,55,1,14
206,56,5,2
207,85,4,11
208,70,4,13
209,87,4,10
210,92,4,9
211,12,2,15
212,28,3,2
213,10,3,10
214,11,1,18
215,35,4,17
216,85,5,15
217,92,5,14
218,49,2,14
219,72,4,2
220,89,1,8
221,34,2,3
